"Check","Status","Note"
"AD Agent active on IDS-DC","PASS",""
"GRP-ACCESS-HRApps members Active in Okta","PASS",""
"Okta user attributes match AD source values","PASS",""
"GRP-ACCESS-HRApps group present in Okta","PASS",""
"IDSentinel HR Portal app exists in Okta","PASS",""
"ACS URL configured correctly in Okta","PASS",""
"SP Entity ID (Audience URI) configured correctly","PASS",""
"NameID format = EmailAddress","PASS",""
"All attribute statements mapped (4 attributes)","PASS",""
"GRP-ACCESS-HRApps assigned to app in Okta","PASS",""
"samltest.id SP metadata updated with Okta IdP XML","PASS",""
"SP accepts Okta signing certificate","PASS",""
"SP-initiated login flow validated","PASS",""
"IdP-initiated login flow validated","PASS",""
"SAML Tracer assertion captured","PASS",""
"All 9 SAML assertion checks passed","PASS",""
"Cutover runbook reviewed","PASS",""
"Rollback procedure documented","PASS",""
"Legacy Entra config preserved for rollback window","PASS",""
